p1,p2,tau,J,method,param,rmse_log,nrmse,ci_len,coverage,secs,acc
0.0001,0.01,3.0,100,GPS-ABC,p1,1.846442599637498,75.43819192026596,0.03544945252331033,1.0,3.828481137752533,0.39625708569523177
0.0001,0.01,3.0,100,GPS-ABC,p2,0.08252957362276694,0.21195787940019817,0.035962875661921787,1.0,3.828481137752533,0.39625708569523177
0.0001,0.01,3.0,100,GPS-ABC,tau,2.2591478228346245,0.7530492742782081,9.101955718907828,1.0,3.828481137752533,0.39625708569523177
0.0001,0.01,3.0,100,GPS-ABC-ref,p1,1.8519998716666966,71.35651962206124,0.037525433832672754,1.0,1.895721822977066,0.7613371123707903
0.0001,0.01,3.0,100,GPS-ABC-ref,p2,0.15584343436388395,0.2732023033007389,0.03637857299338114,1.0,1.895721822977066,0.7613371123707903
0.0001,0.01,3.0,100,GPS-ABC-ref,tau,3.081757275505647,1.0272524251685489,8.953423323784014,1.0,1.895721822977066,0.7613371123707903
0.0001,0.01,3.0,100,DNN-ABC,p1,1.8646987991005965,86.59361284849244,0.036774395090436916,1.0,1.7254849523305893,0.143297765921974
0.0001,0.01,3.0,100,DNN-ABC,p2,0.13218514651735191,0.33954408172343936,0.03681552855148716,1.0,1.7254849523305893,0.143297765921974
0.0001,0.01,3.0,100,DNN-ABC,tau,2.5500276194752893,0.8500092064917631,8.917642533843996,1.0,1.7254849523305893,0.143297765921974
0.0001,0.01,7.0,100,GPS-ABC,p1,1.8381728917575377,71.89731607878078,0.03439461277187088,1.0,1.8485315591096878,0.3385086695565188
0.0001,0.01,7.0,100,GPS-ABC,p2,0.24700834208607847,0.4130535885680897,0.02907255414333927,1.0,1.8485315591096878,0.3385086695565188
0.0001,0.01,7.0,100,GPS-ABC,tau,1.3046970086266678,0.18638528694666684,9.117299304300229,1.0,1.8485315591096878,0.3385086695565188
0.0001,0.01,7.0,100,GPS-ABC-ref,p1,1.6534193533192603,45.03822000841809,0.0318595545340738,1.0,1.8397600650787354,0.8447190730243415
0.0001,0.01,7.0,100,GPS-ABC-ref,p2,0.39945314515712727,0.58258703521169,0.02435640277509052,1.0,1.8397600650787354,0.8447190730243415
0.0001,0.01,7.0,100,GPS-ABC-ref,tau,1.2432893192166143,0.17761275988808775,9.107684118547937,1.0,1.8397600650787354,0.8447190730243415
0.0001,0.01,7.0,100,DNN-ABC,p1,1.7891171923898066,73.21058379242376,0.032508368546315045,0.875,1.6616942286491394,0.14306852284094698
0.0001,0.01,7.0,100,DNN-ABC,p2,0.2694933491310134,0.43163000755196923,0.026290519411100752,1.0,1.6616942286491394,0.14306852284094698
0.0001,0.01,7.0,100,DNN-ABC,tau,1.5967807016090687,0.22811152880129554,8.581210965640242,1.0,1.6616942286491394,0.14306852284094698
0.002,0.008,5.0,100,GPS-ABC,p1,0.4895803839500702,2.400496441119883,0.03382520667874159,1.0,1.8305968940258026,0.3793972990996999
0.002,0.008,5.0,100,GPS-ABC,p2,0.13787232090125073,0.2855570349081303,0.031451827765498,1.0,1.8305968940258026,0.3793972990996999
0.002,0.008,5.0,100,GPS-ABC,tau,0.7014626863776751,0.140292537275535,9.001498612790568,1.0,1.8305968940258026,0.3793972990996999
0.002,0.008,5.0,100,GPS-ABC-ref,p1,0.4219981304133709,1.6998957060989013,0.03479761269753448,1.0,1.842594489455223,0.8228992997665888
0.002,0.008,5.0,100,GPS-ABC-ref,p2,0.16654101839903615,0.3047261765056383,0.030908179106584603,1.0,1.842594489455223,0.8228992997665888
0.002,0.008,5.0,100,GPS-ABC-ref,tau,1.0712422671218063,0.21424845342436125,8.978782937996689,1.0,1.842594489455223,0.8228992997665888
0.002,0.008,5.0,100,DNN-ABC,p1,0.5679506072433778,3.344842541963231,0.033618100033462064,0.9375,1.5661458224058151,0.14304768256085362
0.002,0.008,5.0,100,DNN-ABC,p2,0.3724065043248336,0.42676443269415276,0.02897756880005802,0.9375,1.5661458224058151,0.14304768256085362
0.002,0.008,5.0,100,DNN-ABC,tau,1.112130411848449,0.2224260823696898,8.420796884680843,1.0,1.5661458224058151,0.14304768256085362
